city,borough,district,address,name,inscription,picture,note,Geohack,lat,lon,first_name,middle_name,surname,maiden_name,year_of_birth,deported,year_of_deportation,age_when_deported,murdered,concentration_camp,Auschwitz,Fuhlsbüttel,Neuengamme,Sachsenhausen,Buchenwald,Ravensbrück,Stutthof,Bergen-Belsen,Dachau,Polenaktion,Weiße Rose,Suicide
Hamburg,Altona,Altona-Altstadt,Amundsenstraße 14A,Max Cohn,Hier wohnte Max Cohn Jg. 1872 deportiert 1942 Theresienstadt 1942 Treblinka ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.546928_N_9.948774_E_region:DE-HH_type:landmark&title=Max+Cohn,53.546928,9.948774,Max,,Cohn,,1872.0,True,1942.0,70.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Amundsenstraße 24,Friedrich W. Hoffmann,Hier wohnte Friedrich W. Hoffmann Jg. 1889 im Widerstand/KPD verhaftet 23.3.1935 Zuchthaus Fuhlsbüttel ermordet 14.8.1935,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.546698_N_9.947123_E_region:DE-HH_type:landmark&title=Friedrich+W.+Hoffmann,53.546698,9.947123,Friedrich,W.,Hoffmann,,1889.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Alfred Rosentreter,Hier wohnte Alfred Rosentreter Jg. 1934 deportiert 1941 Łodz 1942 Chelmno ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Alfred+Rosentreter,53.5474654,9.9420098,Alfred,,Rosentreter,,1934.0,True,1941.0,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Betty Rosentreter,Hier wohnte Betty Rosentreter Jg. 1926 deportiert 1941 Łodz 1942 Chelmno ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Betty+Rosentreter,53.5474654,9.9420098,Betty,,Rosentreter,,1926.0,True,1941.0,15.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Fanny Rosentreter geb. Weinberger,Hier wohnte Fanny Rosentreter geb. Weinberger Jg. 1898 deportiert 1941 Łodz 1942 Chelmno ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Fanny+Rosentreter+geb.+Weinberger,53.5474654,9.9420098,Fanny,,Rosentreter,Weinberger,1898.0,True,1941.0,43.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Ingbert Rosentreter,Hier wohnte Ingbert Rosentreter Jg. 1924 deportiert 1941 Łodz 1942 Chelmno ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Ingbert+Rosentreter,53.5474654,9.9420098,Ingbert,,Rosentreter,,1924.0,True,1941.0,17.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Samuel Rosentreter,Hier wohnte Samuel Rosentreter Jg. 1892 verhaftet 1938 KZ Fuhlsbüttel deportiert 1943 Auschwitz ermordet 15.2.1943,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Samuel+Rosentreter,53.5474654,9.9420098,Samuel,,Rosentreter,,1892.0,True,1943.0,51.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 17,Siegfried Rosentreter,Hier wohnte Siegfried Rosentreter Jg. 1923 deportiert 1941 Łodz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5474654_N_9.9420098_E_region:DE-HH_type:landmark&title=Siegfried+Rosentreter,53.5474654,9.9420098,Siegfried,,Rosentreter,,1923.0,True,1941.0,18.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 28,Maria Rebecca Auerbach geb. Rée,Hier wohnte Maria Rebecca Auerbach geb. Rée Jg. 1856 deportiert 1943 Theresienstadt ermordet 15.8.1943,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.5490776_N_9.9414638_E_region:DE-HH_type:landmark&title=Maria+Rebecca+Auerbach+geb.+R%C3%A9e,53.5490776,9.9414638,Maria,Rebecca,Auerbach,Rée,1856.0,True,1943.0,87.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamburg,Altona,Altona-Altstadt,Behnstraße 36,Anna Daus,Hier wohnte Anna Daus Jg. 1879 deportiert 1943 Theresienstadt 1944 Auschwitz ermordet,,Eintrag auf stolpersteine-hamburg.de,pagename=Liste_der_Stolpersteine_in_Hamburg-Altona-Altstadt&language=de&params=53.549402_N_9.941336_E_region:DE-HH_type:landmark&title=Anna+Daus,53.549402,9.941336,Anna,,Daus,,1879.0,True,1943.0,64.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False
